playerId,playerName,squadName,durationMins,centrePassReceivesTotal,feedWithAttemptTotal,feedsTotal,generalPlayTurnoversTotal,goalAssistsTotal,interceptPassThrownTotal,centrePassReceivesPer,feedWithAttemptPer,feedsPer,generalPlayTurnoversPer,goalAssistsPer,interceptPassThrownPer
991901,K.Moloney,Vixens,720.5333333333333,65,184,298,56,133,6,1.3531643227239083,3.830495928941525,6.2037379718726875,1.1658031088082903,2.768782383419689,0.12490747594374538
80559,K.Pretorius,Lightning,724.1333333333333,34,0,0,9,0,5,0.7042901859694347,0.0,0.0,0.18642975510955623,0.0,0.10357208617197569
80833,K.Ravaillion,Firebirds,710.75,0,273,412,46,226,12,0.0,5.761519521632079,8.695040450228632,0.9708054871614492,4.769609567358424,0.253253605346465
80440,K.Shimmin,Lightning,196.11666666666667,11,0,0,5,0,1,0.841335939491799,0.0,0.0,0.38242542704172683,0.0,0.07648508540834537
995218,K.Stanton,Vixens,384.51666666666665,89,88,103,49,80,14,3.471891118720472,3.432881106150579,4.018031294698973,1.9114906159247542,3.1208010055914355,0.5461401759785012
1004472,L.Dunkley,Firebirds,460.55,156,107,200,34,93,8,5.080881554662903,3.4849636304418627,6.513950711106285,1.1073716208880684,3.0289870806644226,0.2605580284442514
1001803,L.Moore,Swifts,400.73333333333335,31,3,3,18,3,11,1.1603726501414073,0.11229412743303943,0.11229412743303943,0.6737647645982365,0.11229412743303943,0.41174513392114453
1001865,L.Potgieter,Thunderbirds,643.2833333333333,0,24,36,42,13,3,0.0,0.5596289867088116,0.8394434800632173,0.9793507267404202,0.30313236780060626,0.06995362333860144
80296,L.Scherian,Lightning,682.8166666666667,230,213,309,50,181,23,5.052600746906196,4.679147648221826,6.788059264321803,1.0983914667187384,3.9761771095218332,0.5052600746906197
1019205,L.Wilson,Thunderbirds,230.31666666666666,22,0,1,7,0,1,1.4328098994138505,0.0,0.06512772270062957,0.455894058904407,0.0,0.06512772270062957
1013050,M.Bragg,Magpies,111.06666666666666,18,3,4,4,3,1,2.4309723889555825,0.4051620648259304,0.5402160864345739,0.5402160864345739,0.4051620648259304,0.13505402160864347
1000831,M.Cassidy,Lightning,652.8166666666667,24,139,198,54,113,15,0.5514565089739334,3.1938522811406975,4.549516199034951,1.24077714519135,2.596441063085603,0.34466031810870834
1007301,M.Garrett,Thunderbirds,634.1166666666667,87,1,1,26,1,11,2.0579809183378455,0.02365495308434305,0.02365495308434305,0.6150287801929193,0.02365495308434305,0.26020448392777357
995217,M.Hay,GIANTS,712.1333333333333,225,276,386,40,210,15,4.739281033514323,5.8135180677775695,8.130499906384571,0.8425388504025464,4.423328964613368,0.3159520689009549
1004473,M.Jovic,Magpies,556.5333333333333,25,157,214,53,137,19,0.6738140872065166,4.2315524676569245,5.767848586487782,1.4284858648778151,3.692501197891711,0.5120987062769526
80540,M.Kumwenda,Vixens,696.9166666666666,26,59,80,55,40,9,0.5596077962453665,1.2698792299414086,1.7218701422934355,1.1837857228267368,0.8609350711467177,0.1937103910080115
994225,M.Lind,Magpies,62.35,18,21,28,2,18,0,4.330392943063352,5.052125100240577,6.7361668003207695,0.48115477145148355,4.330392943063352,0.0
998401,M.McAuliffe,Lightning,545.3,26,60,86,31,49,9,0.715202640748212,1.650467632495874,2.365670273244086,0.8527416101228683,1.3478818998716304,0.24757014487438112
