team,player,durationOn,durationOff,absPlusMinusOn,absPlusMinusOff,perPlusMinusOn,perPlusMinusOff,relAbsPlusMinus,relPerPlusMinus
Fever,A.Teague-Neeld,287.23333333333335,134.78333333333333,12,-13,0.6266682139955901,-1.4467664152343267,25,2.073434629229917
Swifts,M.Proud,283.5833333333333,139.6,31,-4,1.6397296503085512,-0.42979942693409745,35,2.069529077242649
Fever,O.Lewis,180.33333333333334,181.66666666666666,5,-20,0.41589648798521256,-1.6513761467889907,25,2.0672726347742034
Lightning,P.Maweni,397.1666666666667,25.316666666666666,21,-2,0.7931179185900127,-1.1849901250822907,23,1.9781080436723033
Magpies,J.Ward,324.48333333333335,97.3,-18,-18,-0.8320920437618777,-2.7749229188078104,0,1.9428308750459327
Thunderbirds,T.Williams,60.38333333333333,120.71666666666667,1,-13,0.2484129174717085,-1.6153527543835429,14,1.8637656718552513
Magpies,N.Allen,58.81666666666667,302.8333333333333,2,-24,0.5100595069424767,-1.1887727022564667,26,1.6988322091989434
Lightning,C.Koenen,376.03333333333336,46.56666666666667,21,-2,0.8376916939987591,-0.6442376521116677,23,1.4819293461104268
Magpies,M.Bragg,356.3333333333333,65.33333333333333,-25,-11,-1.0523854069223573,-2.5255102040816326,-14,1.4731247971592754
Fever,I.Colyer,323.98333333333335,97.91666666666667,6,-7,0.2777920674931838,-1.0723404255319149,13,1.3501324930250986
GIANTS,K.Manu'a,380.8,40.68333333333333,-4,-4,-0.15756302521008403,-1.4748054076198278,0,1.3172423824097437
Swifts,S.Wallace,308.73333333333335,114.08333333333333,27,0,1.3118117037356944,0.0,27,1.3118117037356944
Thunderbirds,S.van der Merwe,340.98333333333335,80.78333333333333,-10,-9,-0.4399041986411848,-1.6711367856406025,-1,1.2312325869994178
Thunderbirds,C.Blackman,22.6,97.43333333333334,0,-7,0.0,-1.077659938419432,7,1.077659938419432
Swifts,N.Styles,18.183333333333334,224.55,2,9,1.6498625114573786,0.6012024048096192,-7,1.0486601066477594
Firebirds,J.Mi Mi,287.8833333333333,73.45,-20,-9,-1.0420888091240665,-1.837985023825732,-11,0.7958962147016655
Magpies,S.Nelson,286.81666666666666,74.06666666666666,-17,-8,-0.889069672845604,-1.6201620162016201,-9,0.7310923433560161
Lightning,J.Russell,137.81666666666666,223.9,9,6,0.9795622203410328,0.40196516301920493,3,0.5775970573218279
Thunderbirds,L.Potgieter,397.01666666666665,24.683333333333334,-17,-2,-0.6422904160194787,-1.2153950033760972,-15,0.5731045873566185
Firebirds,L.Dunkley,96.33333333333333,205.66666666666666,-15,-39,-2.335640138408304,-2.844408427876824,24,0.5087682894685197
Swifts,S.Garbin,192.23333333333332,230.93333333333334,15,12,1.170452574995665,0.7794457274826789,3,0.391006847512986
Lightning,M.McAuliffe,280.06666666666666,142.56666666666666,15,4,0.8033801475839086,0.4208557400046762,11,0.38252440757923245
Vixens,M.Kumwenda,198.88333333333333,163.66666666666666,32,24,2.413475236738456,2.1995926680244406,8,0.21388256871401534
Thunderbirds,K.Shimmin,161.36666666666667,260.76666666666665,-6,-13,-0.5577360049576534,-0.7477949635689632,7,0.19005895861130984
Magpies,E.Ryde,134.68333333333334,106.01666666666667,-19,-16,-2.116074743224848,-2.26379500078604,-3,0.147720257561192
Thunderbirds,M.Nankivell,364.0833333333333,57.833333333333336,-16,-3,-0.6591897459372854,-0.7780979827089336,-13,0.11890823677164819
Vixens,C.Thwaites,344.76666666666665,77.86666666666666,53,12,2.3059073769699316,2.3116438356164384,41,-0.005736458646506737
